,RANK,MOVIE_NAME,YEAR,RATINGS,REVIEWS,MOVIE_LINKS
218,219, Platoon,1986,8.1, 442K,https://www.imdb.com/title/tt0091763/?ref_=chttp_i_219
219,220, The Passion of Joan of Arc,1928,8.1, 61K,https://www.imdb.com/title/tt0019254/?ref_=chttp_i_220
220,221, La haine,1995,8.1, 198K,https://www.imdb.com/title/tt0113247/?ref_=chttp_i_221
221,222, Before Sunset,2004,8.1, 290K,https://www.imdb.com/title/tt0381681/?ref_=chttp_i_222
222,223, Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1, 1.2M,https://www.imdb.com/title/tt0325980/?ref_=chttp_i_223
223,224, The Best Years of Our Lives,1946,8.1, 71K,https://www.imdb.com/title/tt0036868/?ref_=chttp_i_224
224,225, The Exorcist,1973,8.1, 458K,https://www.imdb.com/title/tt0070047/?ref_=chttp_i_225
225,226, Jai Bhim,2021,8.7, 218K,https://www.imdb.com/title/tt15097216/?ref_=chttp_i_226
226,227, Rush,2013,8.1, 517K,https://www.imdb.com/title/tt1979320/?ref_=chttp_i_227
227,228, Network,1976,8.1, 172K,https://www.imdb.com/title/tt0074958/?ref_=chttp_i_228
228,229, The Wizard of Oz,1939,8.1, 431K,https://www.imdb.com/title/tt0032138/?ref_=chttp_i_229
229,230, Stand by Me,1986,8.1, 445K,https://www.imdb.com/title/tt0092005/?ref_=chttp_i_230
230,231, The Incredibles,2004,8.0, 815K,https://www.imdb.com/title/tt0317705/?ref_=chttp_i_231
231,232, Hachi: A Dog's Tale,2009,8.1, 314K,https://www.imdb.com/title/tt1028532/?ref_=chttp_i_232
232,233, My Father and My Son,2005,8.2, 93K,https://www.imdb.com/title/tt0476735/?ref_=chttp_i_233
233,234, The Sound of Music,1965,8.1, 263K,https://www.imdb.com/title/tt0059742/?ref_=chttp_i_234
234,235, The Handmaiden,2016,8.1, 175K,https://www.imdb.com/title/tt4016934/?ref_=chttp_i_235
235,236, Into the Wild,2007,8.1, 661K,https://www.imdb.com/title/tt0758758/?ref_=chttp_i_236
236,237, To Be or Not to Be,1942,8.1, 43K,https://www.imdb.com/title/tt0035446/?ref_=chttp_i_237
237,238, The Battle of Algiers,1966,8.1, 66K,https://www.imdb.com/title/tt0058946/?ref_=chttp_i_238
238,239, The Grapes of Wrath,1940,8.1, 101K,https://www.imdb.com/title/tt0032551/?ref_=chttp_i_239
239,240, Groundhog Day,1993,8.0, 689K,https://www.imdb.com/title/tt0107048/?ref_=chttp_i_240
240,241, Amores Perros,2000,8.1, 254K,https://www.imdb.com/title/tt0245712/?ref_=chttp_i_241
241,242, The Iron Giant,1999,8.1, 230K,https://www.imdb.com/title/tt0129167/?ref_=chttp_i_242
242,243, Rebecca,1940,8.1, 148K,https://www.imdb.com/title/tt0032976/?ref_=chttp_i_243
243,244, Cool Hand Luke,1967,8.1, 190K,https://www.imdb.com/title/tt0061512/?ref_=chttp_i_244
244,245, The Help,2011,8.1, 496K,https://www.imdb.com/title/tt1454029/?ref_=chttp_i_245
245,246, It Happened One Night,1934,8.1, 113K,https://www.imdb.com/title/tt0025316/?ref_=chttp_i_246
246,247, Drishyam,2015,8.2, 96K,https://www.imdb.com/title/tt4430212/?ref_=chttp_i_247
247,248, Aladdin,1992,8.0, 471K,https://www.imdb.com/title/tt0103639/?ref_=chttp_i_248
248,249, Dances with Wolves,1990,8.0, 293K,https://www.imdb.com/title/tt0099348/?ref_=chttp_i_249
249,250, Scent of a Woman,1992,8.0, 332K,https://www.imdb.com/title/tt0105323/?ref_=chttp_i_250
